@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.566798,131.809,0.003658,1.918862,89.82,0.006179,2.265,0.008255,15.88,0.379986,0.666499,-0.458018,0.115815,2363,1,14.25,41250,49690,15.31,30260,2327,32940,3617,0.596,0.01436,2830,1,6292,4.18,0,1.493,11.02,12.95,-2.375,0.9465,0.004989,13.68,1.101,0.1835,NTP
2.37144,133.857,0.00733,1.011695,27.37,0.8984,8.157,0.2989,47.57,0.263237,1.102977,-1.100534,0.389207,566,1,12.29,34610,42730,15.76,7085,544,16100,4298,1.369,0.03839,2050,0,6958,4.1,-0.32,1.711,5.26,10.2,-8.218,3.188,0.002695,3.2,1.204,0.8056,NTP
0.80508,132.014,0.004728,1.153077,87.7,0.04631,5.353,0.02524,28.53,0.634098,-0.571154,1.301974,-0.553318,1679,1,8.297,35180,42490,10.47,21260,1634,27990,3085,0.3988,0.01535,1550,0,4945,4.53,-0.04,0.773,8.197,7.976,-2.813,0.6822,0.001059,11.69,1.04,0.3527,NTP
1.64897,132.736,0.004627,2.008872,75.96,0.4874,5.509,0.03323,24.36,0.347401,0.617727,-0.270545,0.024717,818,1,6.871,27060,32620,11.94,10370,797,14100,1871,1.362,0.02988,2430,0,5798,3.69,-0.24,2.697,4.772,8.777,-10.12,4.231,0.00652,2.075,0.7829,1.153,NTP
0.979725,132.317,0.014984,2.282893,88.05,0.07769,3.318,0.04927,263.8,0.408259,0.694723,-0.597157,0.187707,242,1,8.671,3163,3088,8.832,2288,175,1533,271.5,2.114,0.02127,2300,0,6675,4.34,0.07,1.293,4.866,7.471,-6.966,2.566,0.3108,2.911,1.16,0.9324,AFP
0.965712,132.014,0.006554,1.465379,51.92,0.9038,2.23,0.07712,37.83,0.378068,0.871238,-0.915274,0.331415,1393,1,11.28,25220,30380,13.8,17890,1375,29730,3310,1.447,0.02235,3040,0,7236,4.03,-0.06,2.023,8.612,12.27,-11.63,3.067,0.664,3.999,0.9197,0.9486,NTP
3.63297,131.831,0.011903,11.401373,88.19,0.3601,2.302,0.03106,157,0.599313,0.022499,-0.017356,-0.004889,370,1,26.81,7155,8488,26.92,4771,366,8087,840,2.812,0.06202,2600,1,9981,4.15,0.07,2.165,15.67,24.99,-13.24,2.881,0.05035,8.673,1.073,0.5296,NTP
1.91447,132.689,0.005962,4.182803,88.63,0.1,3.5,0.02095,41.49,0.458764,0.395421,-0.196726,0.012933,427,0,-1,-1,-1,11.15,3627,278,4884,993.9,2.249,0.03874,3260,0,7823,3.69,0.1,3.456,5.076,9.868,-8.844,2.599,0,3.797,-0.1013,0.8962,AFP
15.9266,145.552,0.443598,35.044134,89.84,0.1,5,1.548,280800,0.587597,-0.245438,0.853513,-0.417617,0,0,-1,-1,-1,14500,1053,80,20510000,160200,44.39,0.12,670,1,5496,4.47,0.06,0.917,1602,9659,-2766,3.142,0,3074,-0.000104,0.2864,AFP
459.192,260.313,0.021337,207.8388,89.79,0.7512,11.68,0.5456,450.8,0.818846,-1.03219,1.640207,-0.524261,3,1,3.593,224.2,210.5,49.07,39,2,255.9,28.09,98.06,1.422,986,0,4107,1.45,-0.06,42.12,44.8,12.03,-9.682,0.6771,0.3443,17.76,0.2987,0.8049,NTP
