@relation tce_features-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
15.9266,137.042,0.577142,14.163198,86.35,0.9019,11.11,11.48,175100,0.587597,-0.245438,0.853513,-0.417617,85,1,4608,13390,8171,13120,1092,83,10190000,158300,57.75,0.12,670,1,5496,4.47,0.06,0.917,953.4,6543,-1027,1.944,0.108,3366,0.7043,0.1569,26959,19.501911,37.80983,0.1953,-0.684,0.1095,-0.01929,-0.13143,-0.053343,0.14185,-0.008537,-0.03085,0.032009,AFP
5.93911,134.015,0.019237,19.298201,89.13,0.2926,2.295,0.0473,446,0.520026,-0.10055,0.727192,-0.38159,185,1,14.19,3418,3988,13.92,2327,178,1809,291,1.614,0.06078,849,3,5412,4.59,-0.2,0.769,4.609,13.97,-2.395,0.7609,0.02014,18.37,1.016,0.1714,1.2933,19.838903,41.952545,1.145,0.4148,-0.000018,-0.000133,-0.80356,0.10981,0.81103,0.084046,-0.14248,0.16542,PC
15.9513,146.459,0.010125,39.472131,88.98,0.6999,2.249,0.04376,106.4,0.358871,0.753736,-0.60391,0.180879,84,1,10.1,1480,1798,11.3,1092,83,672.7,155.4,1.338,0.1308,866,1,6453,4.34,-0.08,1.211,4.772,9.645,-3.38,0.8138,0.2982,11.85,1.047,0.3505,16.373,19.435908,44.447015,-1.535,-0.1624,0.000258,0.000032,-2.0108,-1.0471,2.2671,-1.837,-1.1367,2.1603,PC
36.7705,164.292,0.035998,49.212106,89.21,0.676,4.481,0.2788,1379,0.611147,-0.446123,1.15104,-0.518654,37,1,37.29,1262,1541,42.19,481,36,320,77.56,2.981,0.2043,438,3,5153,4.6,-0.04,0.759,9.325,35.3,-2.671,0.7517,3.235,46.96,1.056,0.07566,0.73191,19.094001,42.6815,0.05102,-0.1806,-0.000032,0.000192,0.15842,-0.31623,0.35369,0.1902,-0.40688,0.44914,PC
33.4203,159.137,0.018982,38.383447,89.01,0.6614,5.156,0.1683,385.2,0.533004,0.006445,0.501775,-0.283221,28,1,31.92,1090,1359,78.09,364,27,4719,241.3,2.208,0.2015,582,1,5731,4.37,0.08,1.066,44.93,30.96,-3.964,0.6727,0.1051,46.02,1.031,0.128,6.6313,19.022037,42.040438,-0.1861,0.03019,0.000076,0.000079,0.11851,-0.039337,0.12487,0.12782,0.22674,0.26029,PC
1.22172,132.725,0.002377,1.000873,16.3,0.9607,2.669,0.07981,4.545,0.579145,0.077677,-0.034119,-0.005838,1092,1,7.309,25040,26500,13.19,13990,1075,28240,3466,0.8319,0.03072,4210,0,9338,3.84,0.07,3.207,10.15,9.213,-10.74,4.115,0,2.239,0.7933,1.166,-1,0,0,0,0,0,0,-2.0347,1.9801,2.8392,-1.8119,1.8813,2.612,AFP
23.5992,134.28,0.014459,77.946162,89.64,0.4926,2.051,0.03843,236,0.138703,1.217341,-0.921569,0.258052,57,1,6.753,865.9,1103,6.898,728,55,405.5,49.91,1.033,0.1386,520,1,5422,4.61,-1.1,0.655,5.273,7.118,-3.311,0.7229,0.9573,9.846,0.9488,0.4652,1.1485,19.461908,45.232093,-0.852,0.9105,0.000129,-0.000265,1.2085,0.84772,1.4762,0.93858,2.4817,2.6533,NTP
2.31204,133.698,0.007032,2.310243,87.52,0.1,7.661,0.05403,58.3,0.285587,0.958942,-0.842695,0.276195,586,1,10.83,34550,41150,19.39,7384,567,22140,6335,1.329,0.03615,1970,0,6440,4.03,-0.24,1.732,4.829,8.554,-10.1,6.08,1.48,1.407,1.266,1.18,3.8832,19.914799,42.174821,-1.409,0.3278,0.000039,-0.000002,-0.022729,-0.21437,0.21557,-0.078815,-0.1355,0.15676,NTP
11.4959,139.375,0.009962,37.48637,89.84,0.1029,2.354,0.02346,117.3,0.341066,0.777441,-0.600097,0.175798,118,1,13.45,2123,2630,14.45,1469,112,909.8,154.8,1.637,0.1037,1060,2,6290,4.13,-0.14,1.506,6.529,13.11,-2.838,0.6657,0.9692,19.69,1.026,0.2165,29.025,19.838856,40.531544,2.416,0.8789,-0.000304,-0.000133,-0.49955,-2.8406,2.8841,-0.52941,-2.8939,2.9419,PC
3.88652,133.108,0.005639,1.766871,66.78,0.6967,12.19,0.1321,33.12,0.379013,0.775815,-0.697873,0.231334,237,1,9.633,24550,27990,27.51,3003,230,5044,2488,1.087,0.05417,1680,0,6655,4.09,0.02,1.766,4.492,10.28,-7.669,3.058,0.004714,3.362,0.9372,0.7461,4.1424,19.871101,40.195559,0.2266,0.6453,-0.000009,-0.000021,0.32099,-0.059768,0.32651,0.40911,-0.066445,0.41447,NTP
0.800175,131.674,0.00596,2.310054,82.56,0.2993,2.541,0.01653,40.79,0.26641,1.07898,-1.054597,0.370182,1203,1,11.41,23520,27560,14.57,14640,1125,33230,4457,1.123,0.01853,2900,0,6806,4.09,-0.28,1.726,3.744,9.507,-6.859,3.178,0.000184,2.991,1.201,0.7215,16.774,19.597619,45.351509,0.2828,0.2122,-0.000012,-0.000011,-0.06766,0.056634,0.088234,-0.099627,-0.006794,0.099859,NTP
2.41898,132.93,0.006028,1.536052,63.66,0.6815,8.903,0.0991,38.23,0.31372,0.77324,-0.514399,0.121369,452,1,12.4,17810,15450,19.81,5720,439,10580,2939,0.5861,0.03494,1350,0,6077,4.53,-0.34,0.891,4.181,11.07,-2.383,0.9691,0.1958,11.42,1.12,0.2153,37.167,19.585894,40.037273,-2.929,-1.536,0.00011,0.000057,-5.4529,-3.0947,6.2698,-5.4816,-3.2063,6.3504,AFP
1.31184,131.8,0.015683,4.130498,80.12,0.7089,1.765,0.05395,254.2,0.572395,-0.173697,0.751976,-0.378448,989,1,57.4,13580,16830,62.33,12560,965,40320,2575,1.586,0.02293,1560,3,5569,4.47,0.07,0.927,6.426,51.58,-2.571,1.157,0.01988,44.59,1.113,0.04985,4.0923,19.378207,38.690988,-0.08261,-0.07957,0.000025,0.000047,-0.022465,-0.052521,0.057124,-0.018766,-0.051704,0.055004,PC
5.49994,132.816,0.191906,4.739999,85.7,0.3557,10.08,1.82,41850,0.343478,0.888574,-0.86047,0.29807,250,1,4074,21760,22440,8473,3185,244,2080000,50850,30.09,0.06739,1410,1,6916,4.25,-0.1,1.437,661.2,4726,-455.1,14.04,5.724,336.7,0.8621,0.09631,14122,19.544331,38.069115,0.06188,-0.05579,0.004402,-0.001184,-0.02482,0.014477,0.028734,0.057181,0.051494,0.076949,AFP
0.743648,131.897,0.014927,2.868898,88,0.1,2,0.02971,259.8,0.456958,0.200636,0.141777,-0.143898,860,0,-1,-1,-1,9.298,4303,330,5228,403.6,4.702,0.01975,4310,0,8076,3.79,-0.2,2.887,4.27,8.812,-5.853,3.279,0,2.687,-0.1135,0.6642,-1,0,0,0,0,0,0,0,0,0,0,0,0,NTP
0.855429,132.049,0.00397,1.434985,68.1,0.5351,3.869,0.0214,17.38,0.221954,1.148203,-1.098232,0.386006,1560,1,10.18,26350,28510,13.2,19540,1502,34950,4765,0.8334,0.01862,2970,0,6626,3.94,-0.48,1.924,4.985,9.586,-13.72,5.57,0.000003,1.721,1.062,1.432,6.1269,19.247431,47.940058,1.567,-1.627,-0.000012,0.000009,-5.613,-1.1988,5.7396,-3.6284,-1.9974,4.1419,NTP
1.19622,131.608,0.000462,1.000096,30.27,0.8637,4.614,0.008381,0.1958,0.279326,0.951698,-0.808743,0.257452,1129,1,0.08667,34420,41570,10.89,14290,1098,28440,2684,0.08551,0.02294,2410,0,6348,4.03,-0.28,1.695,4.925,11.51,-3.253,2.479,0,4.645,0.007527,0.2825,-1,0,0,0,0,0,0,0.5771,-0.11684,0.58881,0.49177,-0.239,0.54677,NTP
