@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.9274,131.643,0.0053,1.001695,13.41,0.9744,1.75,0.1667,20.7,0.418979,0.79496,-0.875491,0.324561,1152,1,3.447,27540,33970,12.45,14780,1136,60830,4352,1.072,0.02178,3030,1,7454,4.11,-0.04,1.853,5.985,8.259,-10.59,5.813,0,1.421,0.4174,1.282,NTP
0.876821,131.791,0.008482,1.433505,47.15,0.9749,1.207,0.1779,49.26,0.335234,0.725857,-0.475475,0.109826,1525,1,7.952,18240,22240,9.851,19470,1497,13320,1908,0.8886,0.01813,1980,1,6168,4.49,-0.24,0.96,7.664,8.497,-2.278,0.6379,0.000341,13.32,0.9358,0.2681,PC
39.7489,133.106,0.137078,29.483965,88.28,0.8875,7.321,3.064,15320,0.366085,0.624778,-0.342769,0.056117,34,1,521,1831,2253,581.7,442,33,5508,152.1,14.42,0.231,552,1,6122,4.49,-0.18,0.964,116.9,522.9,-3.517,0.7733,0.4237,676.2,0.9964,0.006725,PC
12.4261,133.93,0.035841,1.665398,55.27,0.9488,23.69,6.469,945.5,0.483488,0.138496,0.35505,-0.23121,114,1,34.72,19020,22050,69.45,1430,109,3164,1663,3.348,0.1033,726,1,5713,4.55,-0.1,0.856,5.23,21.45,-7.761,1.653,0.1244,12.98,1.618,0.3618,AFP
47.057,161.059,0.038628,51.371213,89.23,0.6937,5.409,0.3753,1568,0.538769,-0.1997,0.867986,-0.432842,27,1,26.13,1102,1291,49.88,338,25,601.1,441.3,3.145,0.2384,413,1,5290,4.6,-0.22,0.746,30.66,23.71,-2.613,0.6969,0.4112,34.03,1.102,0.1102,PC
0.566792,131.814,0.004389,2.07603,89.64,0.01304,2.095,0.009154,23.22,0.356957,0.510231,-0.076506,-0.069569,2345,1,9.695,38800,46410,10.82,29980,2305,35020,3448,0.386,0.01248,2010,1,5662,4.53,-0.44,0.806,3.515,8.729,-2.91,0.8105,0.002136,10.77,1.111,0.3333,NTP
6.88309,134.154,0.005446,21.320876,88.12,0.7,1.78,0.01881,30.77,0.404383,0.533147,-0.247628,0.025072,183,1,11.97,2562,3070,11.3,2275,174,1582,233.5,0.7714,0.07262,1140,2,6117,4.24,-0.04,1.298,3.849,10.61,-3.695,0.7359,0.406,14.42,1.129,0.3483,PC
22.2387,148.31,0.010515,16.844426,87.1,0.8508,5.499,0.2018,102.2,0.39808,0.562156,-0.295132,0.043734,60,1,7.753,2422,2990,9.31,767,58,470.9,92.07,1.215,0.1592,704,1,6190,4.42,-0.06,1.059,6.475,7.563,-3.135,0.7235,1.56,10.45,1.025,0.4145,PC
0.566672,132.04,0.004069,1.174721,34.5,0.9681,0.9818,0.05982,10.92,0.487019,-0.021849,0.655807,-0.359394,2001,1,1.374,27280,33650,10.81,25560,1965,26800,2558,0.3587,0.01216,1920,0,5341,4.5,-0.32,0.808,6.82,8.786,-2.759,0.6146,0.000001,14.3,0.1563,0.314,NTP
2.86525,131.578,0.004931,2.517745,89.83,0.007689,8.736,0.04287,28.46,0.224238,1.192809,-1.197663,0.43341,350,1,9.453,20150,21740,27.39,3016,231,15090,4135,1.504,0.04457,2390,0,6853,3.7,-0.5,2.795,4.453,9.96,-11.67,4.914,0.7703,2.027,0.9491,1.172,NTP
7.19549,136.033,0.01429,9.378988,85.43,0.7471,4.02,0.126,206.7,0.409187,0.540062,-0.269561,0.033246,159,1,13.67,4991,6066,14.77,1976,151,1071,258.6,1.762,0.07536,1060,1,6211,4.37,0.02,1.13,5.082,12.92,-2.816,0.6171,0.2924,20.94,1.058,0.218,AFP
7.7967,134.419,0.020325,6.302404,82,0.8772,4.925,0.4001,371.3,0.446857,0.554989,-0.391327,0.098512,171,1,55.73,6364,7821,90.91,2158,165,6651,3012,2.846,0.08481,1120,1,6535,4.35,0.21,1.283,8.786,52.47,-2.935,0.6713,0.6534,78.15,1.062,0.05593,PC
54.32,161.243,0.040899,49.221624,89.72,0.2402,8.539,0.3552,1974,0.395502,0.58124,-0.321808,0.056354,11,1,164.1,897.7,811.3,288,143,10,2416,343.1,5.94,0.2905,584,4,6181,4.23,-0.02,1.331,67.83,171.6,-7.495,1.315,1.139,130.5,0.9563,0.04368,PC
2.18905,133.663,0.011792,7.882149,86.43,0.4908,1.877,0.02872,156.4,0.378382,0.586741,-0.295,0.037112,593,1,10,8899,10530,10.41,7592,583,4901,714,1.243,0.03349,1450,1,6106,4.49,-0.16,0.966,4.224,9.675,-14,1.98,0.4148,4.886,1.034,1.447,AFP
15.8662,141.086,0.008257,26.805617,89.07,0.4336,4.116,0.04143,78.04,0.335485,0.705508,-0.427622,0.089406,68,1,24.14,2219,2676,28.51,871,66,880.7,125.1,1.196,0.1236,874,2,6044,4.19,-0.24,1.327,6.374,23.58,-2.678,0.649,0.5752,36.33,1.024,0.1136,PC
42.8962,146.065,0.022314,50.350479,89.39,0.5337,5.675,0.1717,573,0.660278,-0.541176,1.218431,-0.527828,28,1,44.35,1234,1432,62.34,325,24,278.8,122.6,2.126,0.2279,448,3,5192,4.49,0.18,0.873,11.5,43.46,-3.117,0.6583,1.262,66.01,1.02,0.07171,PC
2.84579,134.268,0.008547,4.232121,86.04,0.2924,4.958,0.04591,86.88,0.504309,0.133244,0.320896,-0.212911,468,1,28.85,18400,22220,31.28,5993,460,7048,1173,0.8813,0.04007,1260,1,5878,4.51,0.07,0.945,5.267,26.6,-2.247,0.8028,1.145,33.13,1.085,0.08447,AFP
3.13438,132.703,0.005708,6.848282,84.25,0.6856,2.573,0.02741,34.02,0.357856,0.835662,-0.772994,0.26277,429,1,8.584,8637,10050,9.688,5460,419,7658,679.4,1.226,0.04748,1890,0,6664,4.01,-0.04,1.968,25.85,8.346,-4.961,1.484,0.02495,5.624,1.029,0.5944,NTP
3.25947,132.472,0.004962,1.162678,41.39,0.8723,10.69,0.2173,22.49,0.230419,1.133219,-1.089016,0.380292,419,1,6.161,31370,37140,22.5,5252,403,15260,6024,0.8143,0.04504,1720,0,6742,4.14,-0.44,1.504,14.28,8.734,-7.211,3.246,0.000912,2.691,0.7055,0.8257,NTP
0.630867,131.955,0.017871,4.347354,85.4,0.3485,1.06,0.02114,359.3,0.498926,0.25135,-0.060022,-0.02993,1691,1,20.87,15540,18040,16.18,21720,1670,22080,1575,6.87,0.0188,4960,0,8211,3.69,0.07,3.523,4.617,14.13,-14.53,7.726,0.002732,1.829,1.477,1.028,AFP
8.41201,135.448,0.091397,8.078314,83.75,0.8798,5.138,1.529,7363,0.321304,0.802079,-0.599375,0.167875,162,1,820.8,7101,7896,1115,2054,157,118400,1958,13.11,0.08248,1100,1,6247,4.22,-0.2,1.314,131.8,879.7,-3.753,0.7301,1.32,1205,0.933,0.004267,AFP
1.02081,132.222,0.015791,3.941524,88.55,0.1,2,0.0314,288.1,0.518691,0.356394,-0.251031,0.047958,807,0,-1,-1,-1,11.85,4134,317,63880,904.7,3.283,0.02473,3110,0,8029,4.17,0.36,1.905,7.433,11.7,-10.77,3.43,0,3.411,-0.08548,0.9207,NTP
0.790999,132.252,0.007942,1.036319,23.63,0.9494,1.973,0.1475,44.53,0.564342,-0.325452,1.03609,-0.49025,1692,1,8.166,25820,31700,10.12,21740,1671,23710,2596,0.6301,0.01552,1560,0,5162,4.62,-0.22,0.727,7.648,7.65,-5.926,2.26,0,3.385,1.067,0.7746,AFP
1.40632,132.214,0.00608,4.268384,87.67,0.1737,2.494,0.01554,42.44,0.43447,0.767141,-0.859787,0.322885,953,1,11.72,20540,25280,12.54,12120,931,16080,2068,1.473,0.02947,2870,0,7483,3.98,-0.04,2.221,8.84,11.36,-9.012,3.685,1.082,3.081,1.032,0.7936,NTP
1.53979,132.295,0.017001,2.663395,83.01,0.3242,4.257,0.07937,329.3,0.56669,0.425493,-0.510813,0.20768,459,1,10.58,15610,19350,13.65,5811,446,14250,1112,6.345,0.03274,3310,0,7331,3.67,0.16,3.42,4.278,10.22,-6.546,5.522,0.004914,1.851,1.035,0.6403,AFP
59.3624,184.152,0.014759,22.689487,88.16,0.7274,14.14,0.4299,223.7,0.46842,0.224521,0.22553,-0.175944,19,1,32.46,1969,2396,50.2,234,17,153.8,54.71,2.369,0.2986,567,1,5786,4.11,-0.02,1.471,10.61,29.95,-3.524,0.7774,1.171,38.52,1.084,0.1177,PC
