@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
17.4449,141.676,0.030828,16.701026,87.02,0.8675,4.443,0.4945,838.8,0.535521,-0.06924,0.634263,-0.337435,75,1,42.12,2498,2948,50.35,936,71,736.1,171.5,3.25,0.1262,680,1,5568,4.41,-0.04,0.966,8.566,40.85,-2.617,0.7247,2.517,56.36,1.031,0.06406,PC
1.61758,132.442,0.001332,1.008048,27.96,0.8904,5.616,0.03586,1.59,0.248838,1.127253,-1.125316,0.398047,835,1,1.487,32930,37920,14.6,10540,810,17000,2348,0.221,0.02924,2240,0,7042,4.18,-0.4,1.521,3.685,11.63,-5.21,2.474,0,4.702,0.1279,0.4479,AFP
3.51135,132.702,0.005466,1.125065,38.55,0.8799,11.6,0.2742,26.85,0.255328,0.996043,-0.850684,0.270808,309,1,12.64,24860,30020,20.83,3822,293,4423,902.3,0.6651,0.04507,1390,0,6348,4.34,-0.42,1.115,4,10.64,-9.207,4.519,0.002112,2.354,1.188,0.8655,AFP
16.6659,146.87,0.024921,30.186977,89.39,0.3194,4.107,0.1109,749,0.676986,-0.425216,1.01028,-0.465422,59,1,52.15,1766,2177,57.3,676,51,482,97.57,2.815,0.1309,703,2,5665,4.44,0.46,1.035,10.39,49.03,-2.582,0.7768,0.3719,63.12,1.064,0.05267,PC
3.83919,133.3,0.006088,3.030928,77.06,0.6785,7.188,0.0802,38.92,0.257395,1.035974,-0.943204,0.315008,285,1,7.967,15600,18660,18.46,3614,277,7595,1486,0.8079,0.04941,1430,0,6553,4.31,-0.36,1.216,5.13,8.003,-3.712,1.392,0.006016,5.75,0.9955,0.4638,NTP
2.94532,134.454,0.000015,1.027765,26.44,0.9203,8.568,0.000856,0.000202,0.27716,1.105365,-1.156322,0.417333,468,1,0.000103,32630,39370,29.39,5928,455,17120,8629,0.003829,0.04537,2320,0,7401,3.87,-0.5,2.293,8.777,11.86,-10.47,4.097,0,2.896,0.000009,0.8826,NTP
54.3776,163.181,0.015528,83.787941,89.87,0.1929,4.943,0.07846,279.1,0.390358,0.689696,-0.602338,0.1854,8,1,6.068,295.4,260.4,11.73,39,2,38.08,0.7342,3.138,0.3244,774,0,7345,4.09,-0.12,1.852,5.4,8.727,-4.544,1.076,0,8.114,0.6953,0.5207,NTP
0.976147,132.179,0.005095,2.726799,79.1,0.5155,2.36,0.01626,28.92,0.35981,0.757157,-0.598524,0.180686,1372,1,8.032,26270,31380,11.84,17420,1339,27030,1984,1.212,0.02173,2800,0,6329,3.92,-0.04,2.181,4.993,9.323,-11.13,2.581,0.006116,3.612,0.8616,1.194,NTP
1.22127,131.802,0.003101,1.009031,26.94,0.8995,4.105,0.06564,8.44,0.256894,1.057066,-0.984021,0.33518,881,1,3.573,27730,33600,11.73,11170,858,33910,2528,0.5046,0.02326,2330,0,6590,4.14,-0.34,1.491,6.32,7.255,-3.863,2.062,0.377,3.518,0.4925,0.5325,AFP
85.0624,149.221,0.224107,126.29402,89.63,0.8173,4.689,2.001,42620,0.691486,-0.603191,1.269036,-0.539162,14,1,490.9,568.5,615.6,518.2,182,13,2202,99.54,21.4,0.3689,355,1,5223,4.52,0.34,0.875,169.1,510.1,-3.472,0.7282,0.01672,700.4,0.9625,0.006807,PC
459.318,260.227,0.025112,366.65097,89.89,0.7212,6.972,0.3469,648.7,0.6229,-0.585131,1.338403,-0.564038,3,1,3.201,82.34,116.1,7.316,39,2,17.24,0.7952,1.904,1.054,173,0,4837,4.62,-0.14,0.695,8.746,8.729,-3.788,0.6845,0,12.75,0.3667,0.434,NTP
3.51749,132.03,0.021401,15.830686,88.19,0.4993,1.512,0.04193,522.3,0.668021,0.116192,0.029317,0.01845,384,1,53.74,4711,5647,54.84,4953,380,6237,578.2,1.303,0.03746,700,1,4110,4.7,-0.32,0.558,20.45,46.96,-3.769,0.6296,1.878,74.59,1.144,0.08026,PC
1.47475,131.676,0.006027,1.798638,68.55,0.6577,4.768,0.05012,38.33,0.370197,0.888306,-0.930446,0.335902,343,1,7.723,9881,10110,13,3094,237,3476,950,1.383,0.02974,2690,0,7254,4,-0.08,2.103,8.139,9.491,-3.173,1.785,0.258,5.318,0.8137,0.3343,NTP
12.4255,141.553,0.012472,1.258662,38.44,0.9858,17.4,5.609,99.94,0.251373,1.015642,-0.883485,0.287455,111,1,17.97,12830,15470,32.74,1365,104,1181,578.2,1.847,0.1057,1010,1,6367,4.18,-0.42,1.357,7.623,14.3,-8.64,1.047,2.006,13.66,1.256,0.6041,AFP
