@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
3.22297,132.95,0.015384,5.643614,82.06,0.7798,2.837,0.1072,233.2,0.39721,0.432399,-0.022103,-0.084203,412,1,30.19,9413,11200,29.93,5278,405,3587,670.7,1.612,0.04121,1240,3,5823,4.43,-0.24,0.96,20.62,28.3,-3.127,0.8365,0.1317,33.83,1.067,0.1105,1.2903,19.485078,39.550177,0.1483,-0.01114,-0.000071,0.000011,-0.12484,-0.060993,0.13894,-0.21139,-0.067462,0.22189,PC
1.14499,131.733,0.009422,1.146582,38.45,0.898,3.517,0.1633,79.11,0.41997,0.792542,-0.869497,0.32423,1167,1,11.75,25100,38300,9.08,14920,1147,16180,2002,2.513,0.02592,3160,0,7377,3.91,-0.04,2.444,5.568,12.45,-6.917,3.154,0.3306,3.947,0.9438,0.5557,15.473,19.879117,41.740398,-0.02607,0.7116,0.000046,-0.000025,-0.23105,-0.01308,0.23142,-0.21105,0.11597,0.24082,NTP
1.21703,131.871,0.008192,1.597667,86.87,0.08726,5.845,0.04786,78.94,0.407805,0.691151,-0.588942,0.183837,940,1,8.865,38700,46760,10.31,11950,918,13250,1569,1.153,0.02454,2130,0,6661,4.34,0.07,1.29,5.073,7.832,-9.577,6.078,0.2327,1.289,1.132,1.223,30.202,19.973046,40.72869,2.13,-0.9728,-0.000168,0.000093,0.075375,-0.11838,0.14034,-0.10564,-0.027479,0.10915,NTP
1.2809,131.504,0.005164,2.616509,69.86,0.901,1.667,0.04451,23.19,0.343391,0.878979,-0.825094,0.286867,978,1,7.78,13140,15810,10.07,12560,965,12200,1572,1.418,0.02644,2830,2,6585,3.81,-0.08,2.517,3.805,7.998,-4.189,1.592,1.505,5.025,0.9728,0.5238,-1,0,0,0,0,0,0,0.25503,0.072012,0.265,0.22265,0.1127,0.24955,AFP
0.888587,132.095,0.5,6.773201,89.15,0.1,1.5,0.5036,296000,0.658463,-0.369396,0.835144,-0.290811,698,0,-1,-1,-1,2887,8931,686,6605000,839900,33.61,0.01528,1210,1,4324,4.64,-0.28,0.616,511.9,3807,-526.2,51.79,0,73.5,-0.000263,0.1382,-1,0,0,0,0,0,0,0,0,0,0,0,0,AFP
13.6994,144.083,0.03217,23.613424,89.21,0.3274,4.338,0.1509,1213,0.347297,0.602,-0.242961,0.004086,97,1,101.9,3443,3909,113.7,1235,94,1818,179.9,3.044,0.1077,733,2,5857,4.51,-0.36,0.867,15.57,98.77,-3.159,0.6501,0.1476,151.9,1.032,0.03199,7.4071,19.184911,42.869288,0.2454,0.028,0.000083,0.000204,-0.045696,0.045471,0.064465,0.067896,0.21021,0.2209,PC
6.93361,137.079,0.009986,12.015573,89.57,0.08978,4.435,0.0442,120.6,0.463453,0.259961,0.165584,-0.150572,156,1,18.88,5270,6339,21.38,1976,151,1173,212.6,1.421,0.07143,1100,1,5861,4.21,0,1.304,7.338,18.06,-3.311,0.832,0.2751,21.7,1.046,0.1834,16.819,19.611378,40.054999,-1.146,-0.6159,0.000151,0.000105,-0.22789,-0.60862,0.64989,-0.23107,-0.54344,0.59052,PC
119.682,154.532,0.064123,27.115877,88.01,0.9395,16.85,6.309,3133,0.400201,0.517048,-0.206358,0.002206,11,1,43.03,1532,1378,57.17,117,8,265.5,530.4,6.78,0.483,380,1,6075,4.49,-0.12,0.969,23,42.16,-3.22,0.6943,31.18,60.72,1.021,0.07638,28.908,19.411114,38.780421,-0.1596,0.8333,-0.000226,-0.003432,0.92282,2.164,2.3526,0.85406,1.8244,2.0144,AFP
145.563,146.059,0.083609,89.348191,89.37,0.9804,5.745,5.278,3264,0.306734,0.813074,-0.581912,0.152828,9,1,77.45,352,354.1,77.55,104,7,175.8,245.8,9.99,0.5362,388,1,6148,4.35,-0.3,1.095,42.76,86.87,-6.15,0.7008,0.00086,124,0.8916,0.07079,3949.7,19.099467,37.491061,3.691,3.892,-0.01257,-0.01396,3.585,3.751,5.1886,3.5906,3.7857,5.2177,AFP
0.859142,131.65,0.004783,1.77782,88.97,0.03207,3.708,0.01767,26.53,0.540893,0.417478,-0.408672,0.133232,1565,1,19.41,31850,34490,18.85,19970,1535,16770,1404,1.134,0.02205,3370,0,7705,4.05,0.36,2.173,3.917,17.55,-5.361,1.246,0.156,14.08,1.106,0.3055,19.034,19.402977,38.717193,-0.2487,0.8388,0.000009,-0.000025,-0.69208,0.2883,0.74973,-0.69183,0.49025,0.84792,AFP
